"Node 1","Node 2","OHL Length (km)","Cable Length (km)","Circuit Type","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Winter Rating (MVA)","Autumn Rating (MVA)","Summer Rating (MVA)","Spring Rating (MVA)"
CELL40,DRAK42,45.691,0,OHL,0.07127796,0.8452835,28.1547942,2180,2070,1890,2070
CELL40,MACC40,31.53,0,OHL,0.0491868,0.583305,19.428786,2400,2300,2140,2300
CHIC41,EXET40,76.088,0,OHL,0.08141416,1.2037493,54.3168912,2780,2570,2220,2570
CHIC41,MANN40,53.784,0,OHL,0.04679208,0.8820576,37.2077712,3070,2830,2410,2830
CHIC42,MANN40,53.784,0,OHL,0.04679208,0.8820576,37.2077712,3070,2830,2410,2830
CHSI20,WWEY21,15.303,0,OHL,0.0504999,0.59895942,4.457014053,1320,1210,1100,1210
CHSI20,WWEY22,15.329,0,OHL,0.0505857,0.59997706,4.464586579,1320,1210,1100,1210
CHTE20,HIGM20,43.627,0,OHL,0.0989935,1.5322989,13.9661879,1290,1240,1150,1240
CHTE20,HIGM20,43.708,0,OHL,0.09910488,1.5349628,13.9934954,1290,1240,1150,1240
CILF2A,CILF40,0,0,TRANSFORMER,0.017,1.603,-0.8784,750,750,750,750
CILF2A,UPPB22,6.985,0,OHL,0.0314325,0.2842895,1.9397345,955,885,760,885
CILF2B,CILF40,0,0,TRANSFORMER,0.017,1.6166,-0.8366,750,750,750,750
CILF2B,UPPB21,7.055,0,OHL,0.0317475,0.2871385,1.9591735,955,885,760,885
CILF40,IMPP40,25.268,0,OHL,0.02715364,0.42145037,17.0588169,2780,2570,2220,2570
CILF40,PEMB40,143.76,0,OHL,0.1538232,2.386416,97.426152,2780,2570,2220,2570
CILF40,PEMB40,145.75,0,OHL,0.1559525,2.41945,98.774775,2780,2570,2220,2570
CILF40,RASS40,26.723,0,OHL,0.02864626,0.4546583,17.8195491,2780,2570,2220,2570
CILF40,SWAN40,61.06,0,OHL,0.0653342,1.013596,41.380362,3180,3000,2690,3000
CILF40,WHSO4A,35.58,0,OHL,0.03821556,0.59311044,24.0315696,2780,2570,2220,2570
CITR41,SJOW40,0,6.883,CABLE,0.0061947,0.0564406,123.894,1415,1245,1100,1415
CITR41,SJOW40,0,6.776,CABLE,0.0060984,0.0555632,121.968,1415,1245,1100,1415
CITR41,WHAM4A,0,9.54,CABLE,0.008586,0.078228,171.72,1412,1412,1102,1412
CITR42,CITR41,0,0.15,CABLE,0.000135,0.00123,2.7,1412,1412,1102,1412
CITR42,CITR41,0,0.15,CABLE,0.000135,0.00123,2.7,1412,1412,1102,1412
CITR42,WHAM4B,0,9.39,CABLE,0.008451,0.076998,169.02,1412,1412,1102,1412
COSO40,RAYL40,13.7,0,OHL,0.0234558,0.252636,8.319441,2010,1910,1750,1910
